k,time,processTime,threadTime
1,0.664560079574585,1.068286418914795,0.5724878311157227
2,0.6580889225006104,1.0460808277130127,0.5700130462646484
3,0.6482551097869873,1.0398902893066406,0.5900793075561523
4,0.39929866790771484,0.5947949886322021,0.3430445194244385
5,0.2745044231414795,0.36425065994262695,0.2360668182373047
6,0.13927078247070312,0.07155680656433105,0.09097719192504883
7,0.1357870101928711,0.06999707221984863,0.09005379676818848
8,0.13453006744384766,0.06937336921691895,0.09291887283325195
9,0.13443398475646973,0.0691535472869873,0.09139227867126465
10,0.13546037673950195,0.0690605640411377,0.09081649780273438
